,goodreads_book_id,authors,original_publication_year,title,average_rating,ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5
18,34,J.R.R. Tolkien,21,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,1766803,15333,38031,55862,202332,493922,1042394
19,7260188,Suzanne Collins,21,"Mockingjay (The Hunger Games, #3)",4.03,1719760,96274,30144,110498,373060,618271,738775
20,2,"J.K. Rowling, Mary GrandPré",21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368,28685,9528,31577,180210,494427,1124806
21,12232938,Alice Sebold,21,The Lovely Bones,3.77,1605173,36642,62777,131188,404699,583575,479323
22,15881,"J.K. Rowling, Mary GrandPré",21,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331,34172,8253,42251,242345,548266,1065084
23,6,"J.K. Rowling, Mary GrandPré",21,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043,31084,6676,20210,151785,494926,1195045
24,136251,"J.K. Rowling, Mary GrandPré",21,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574,51942,9363,22245,113646,383914,1318227
25,968,Dan Brown,21,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148,41560,71345,126493,340790,539277,479387
26,1,"J.K. Rowling, Mary GrandPré",21,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823,27520,7308,21516,136333,459028,1161491
27,7624,William Golding,21,Lord of the Flies,3.64,1605019,26886,92779,160295,425648,564916,427846
28,18135,"William Shakespeare, Robert           Jackson",21,Romeo and Juliet,3.73,1628519,14778,57980,153179,452673,519822,489235
29,8442457,Gillian Flynn,21,Gone Girl,4.03,512475,121614,38874,80807,280331,616031,610476
30,4667024,Kathryn Stockett,21,The Help,4.45,1531753,78204,10235,25117,134887,490754,942552
31,890,John Steinbeck,21,Of Mice and Men,3.84,1467496,24642,46630,110856,355169,532291,473795
32,930,Arthur Golden,21,Memoirs of a Geisha,4.08,1300209,25605,23500,59033,258700,517157,559782
33,10818853,E.L. James,21,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493,75437,165455,152293,252185,294976,571909
34,865,"Paulo Coelho, Alan R. Clarke",21,The Alchemist,3.82,1299566,55781,74846,123614,289143,412180,504212
35,3636,Lois Lowry,21,"The Giver (The Giver, #1)",4.12,1296825,54084,26497,59652,225326,448691,585279
36,100915,C.S. Lewis,21,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800,15186,19309,55542,262038,513366,734629
37,14050,Audrey Niffenegger,21,The Time Traveler's Wife,3.95,746287,43382,44339,85429,257805,427210,493884
38,13496,George R.R. Martin,21,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204,46205,19988,28983,114092,404583,874574
39,19501,Elizabeth Gilbert,21,"Eat, Pray, Love",3.51,1181647,49714,100373,149549,310212,332191,314272
40,28187,Rick Riordan,21,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,46006,18303,48294,219638,435514,689365
41,1934,Louisa May Alcott,21,"Little Women (Little Women, #1)",4.04,1257121,17090,31645,70011,250794,426280,535563
42,10210,"Charlotte Brontë, Michael Mason",21,Jane Eyre,4.1,1198557,31212,35132,64274,212294,400214,574221
43,15931,Nicholas Sparks,21,"The Notebook (The Notebook, #1)",4.06,1053403,17279,41395,63432,176469,298259,497194
44,4214,Yann Martel,21,Life of Pi,3.88,1003228,42962,39768,74331,218702,384164,360466
45,43641,Sara Gruen,21,Water for Elephants,4.07,1068146,55732,16705,49832,200154,417328,424820
46,19063,Markus Zusak,21,The Book Thief,4.36,1159741,93611,17892,35360,135272,377218,722056
47,4381,Ray Bradbury,21,Fahrenheit 451,3.97,570498,30694,28366,64289,238242,426292,419051
48,49041,Stephenie Meyer,21,"New Moon (Twilight, #2)",3.52,1149630,44020,102837,160660,294207,290612,350684
49,30119,Shel Silverstein,21,Where the Sidewalk Ends,4.29,1016888,9234,16590,30792,139024,293222,544153
50,256683,Cassandra Clare,21,"City of Bones (The Mortal Instruments, #1)",4.12,1154031,51589,34122,65349,203466,356048,582814
51,428263,Stephenie Meyer,21,"Eclipse (Twilight, #3)",3.69,1134511,35216,83094,124293,260763,309358,399134
52,113436,Christopher Paolini,21,"Eragon (The Inheritance Cycle, #1)",3.86,1104021,18280,50563,88536,240157,337943,408032
53,11,Douglas Adams,21,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,20345,21764,41962,145173,299579,498001
54,5129,Aldous Huxley,21,Brave New World,3.97,1022601,20095,26367,60328,219895,389379,383166
55,1162543,Stephenie Meyer,21,"Breaking Dawn (Twilight, #4)",3.7,1070245,44550,100994,114893,213402,267706,410714
56,37435,Sue Monk Kidd,21,The Secret Life of Bees,4.01,916189,26522,17500,45455,185631,347540,341267
57,2956,"Mark Twain, John Seelye, Guy Cardwell",21,The Adventures of Huckleberry Finn,3.8,953758,12448,28467,76630,255722,344356,296316
58,24178,"E.B. White, Garth Williams, Rosemary Wells",21,Charlotte's Web,4.15,1064521,13044,18450,41124,191415,346090,487763
59,1618,Mark Haddon,21,The Curious Incident of the Dog in the Night-Time,3.85,867553,35796,21049,58117,218218,355925,262481
60,22557272,Paula Hawkins,21,The Girl on the Train,3.88,1008778,93600,27773,73897,273817,488447,362551
61,119322,Philip Pullman,21,"The Golden Compass (His Dark Materials, #1)",3.94,953970,14915,38382,64591,198764,313147,380030
62,6185,"Emily Brontë, Richard J. Dunn",21,Wuthering Heights,3.82,899195,26157,46469,84084,215320,309180,346082
63,10917,Jodi Picoult,21,My Sister's Keeper,4.06,863879,30719,17547,42763,162573,314003,350994
64,4981,Kurt Vonnegut Jr.,21,Slaughterhouse-Five,4.06,846488,19646,24964,45518,152442,300948,367890
65,18405,Margaret Mitchell,21,Gone with the Wind,4.28,873981,16050,19996,33136,116160,234290,493721
66,128029,Khaled Hosseini,21,A Thousand Splendid Suns,4.34,818742,43645,6509,18015,99030,295817,446694
67,22628,Stephen Chbosky,21,The Perks of Being a Wallflower,4.21,888806,47116,14286,38658,143440,297501,461020
68,11735983,Veronica Roth,21,"Insurgent (Divergent, #2)",4.07,836362,55873,10641,44620,182131,339977,369969
69,375802,Orson Scott Card,21,"Ender's Game (Ender's Saga, #1)",4.3,813439,38054,15330,27612,103439,264207,462829
70,18490,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",21,Frankenstein,3.75,808589,19993,29366,74142,231022,300495,248538
71,11588,Stephen King,21,The Shining (The Shining #1),4.17,791850,14936,18487,28981,123862,277393,382158
72,1656001,Stephenie Meyer,21,"The Host (The Host, #1)",3.84,749780,39778,44215,62501,154906,227180,288758
73,99561,John Green,21,Looking for Alaska,4.09,783470,47128,16940,44232,147324,262932,359857
74,227443,Helen Fielding,21,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,736498,8157,28973,59309,198555,254836,212825
75,14935,"Jane Austen, Tony Tanner, Ros Ballaster",21,Sense and Sensibility,4.06,738894,11526,18430,34699,141987,272512,311754
76,38709,"Louis Sachar, Louis Sachar",21,"Holes (Holes, #1)",3.93,747445,15832,15495,43786,176946,269153,259257
77,5139,Lauren Weisberger,21,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,8024,24231,58323,192366,226675,178250
78,1381,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",21,The Odyssey,3.73,670326,8101,29703,65629,183082,224120,208223
79,157993,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",21,The Little Prince,4.28,738757,24537,15039,32866,114714,228440,468227
80,7445,Jeannette Walls,21,The Glass Castle,4.24,621099,40777,7901,18922,85191,227750,298102
81,1845,Jon Krakauer,21,Into the Wild,3.94,647684,17299,19229,35567,135199,248287,227095
82,1953,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",21,A Tale of Two Cities,3.81,637412,13093,28904,55555,153305,216378,223571
83,7677,Michael Crichton,21,"Jurassic Park (Jurassic Park, #1)",3.96,447833,8143,15736,34222,138327,231583,230615
84,370493,Shel Silverstein,21,The Giving Tree,4.38,702332,14368,15345,20408,76071,167542,428921
85,32542,John Grisham,21,A Time to Kill,4.03,597775,4239,12106,25938,122675,218617,229488
86,1617,"Elie Wiesel, Marion Wiesel",21,Night (The Night Trilogy #1),4.3,691231,22001,7761,18539,90575,230227,360777
87,6442769,John Green,21,Paper Towns,3.88,461311,42717,14105,47183,154479,223895,215609
88,21787,William Goldman,21,The Princess Bride ,4.25,628637,15630,12883,21641,89236,196047,338235
89,231804,S.E. Hinton,21,The Outsiders,4.06,659248,22662,10178,34346,134244,227250,274419
90,6186357,James Dashner,21,"The Maze Runner (Maze Runner, #1)",4.02,719925,48942,15291,43370,150488,266698,302109
91,1202,"Steven D. Levitt, Stephen J. Dubner",21,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,13668,14586,26538,115789,216316,176072
92,2998,Frances Hodgson Burnett,21,The Secret Garden,4.12,639357,13054,8005,25207,129646,243821,285570
93,320,"Gabriel García Márquez, Gregory Rabassa",21,One Hundred Years of Solitude,4.04,490565,21671,27340,37646,87675,155809,267197
94,5297,"Oscar Wilde, Jeffrey Eugenides",21,The Picture of Dorian Gray,4.06,590014,19647,9825,30735,129420,246892,257679
95,13536860,E.L. James,21,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,25287,39079,55691,109963,140304,265079
96,17245,"Bram Stoker, Nina Auerbach, David J. Skal",21,Dracula,3.98,618973,17263,11756,36719,151396,246043,243825
97,5060378,"Stieg Larsson, Reg Keeland",21,"The Girl Who Played with Fire (Millennium, #2)",4.22,563994,31423,4623,15781,91021,258236,279592
98,11857408,E.L. James,21,"Fifty Shades Darker (Fifty Shades, #2)",3.87,552059,28052,37245,58935,114203,150906,262051
99,7244,Barbara Kingsolver,21,The Poisonwood Bible,4.02,546502,19941,21699,33702,92590,175725,239071
100,4137,David Sedaris,21,Me Talk Pretty One Day,3.97,495736,14982,19718,29034,93427,178021,194076
101,19543,Maurice Sendak,21,Where the Wild Things Are,4.22,620618,9102,15392,27532,93700,167043,332394
102,7126,"Alexandre Dumas, Robin Buss",21,The Count of Monte Cristo,4.21,555822,15925,10381,22482,89980,183142,295235
103,6288,Cormac McCarthy,21,The Road,3.95,504793,38980,20086,36561,100989,190823,207328
104,18710190,Veronica Roth,21,"Allegiant (Divergent, #3)",3.63,463257,62536,31626,78366,176061,192785,184388
105,9418327,Tina Fey,21,Bossypants,3.94,506250,35142,14842,31761,129390,230080,203187
106,3473,Nicholas Sparks,21,A Walk to Remember,4.15,546948,11071,10640,24094,94327,169650,260870
107,9416,Sophie Kinsella,21,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658,11170,30705,56949,156636,166927,146787
108,24280,"Victor Hugo, Lee Fahnestock, Norman MacAfee",21,Les Misérables,4.14,513407,12505,15225,25914,87461,167385,264147
109,10572,George R.R. Martin,21,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303,20325,1788,7104,56167,221706,320000
110,10441,Kim Edwards,21,The Memory Keeper's Daughter,3.64,501430,18027,19453,47004,145437,183150,115538
111,15507958,Jojo Moyes,21,"Me Before You (Me Before You, #1)",4.27,587647,71412,10346,21880,91517,249474,367916
112,168668,Joseph Heller,21,Catch-22,3.98,563265,13734,20639,37912,106269,186745,230950
113,6900,"Mitch Albom, Saulius Dagys",21,Tuesdays with Morrie,4.06,556518,19272,11507,30534,107446,194448,240462
114,2187,Jeffrey Eugenides,21,Middlesex,3.98,488243,20880,19329,30503,89740,171099,197327
115,24583,"Mark Twain, Guy Cardwell, John Seelye",21,The Adventures of Tom Sawyer,3.89,555359,7165,12130,34349,143659,217896,186192
116,18131,Madeleine L'Engle,21,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907,19413,17313,34988,119115,209745,268933
117,7763,Amy Tan,21,The Joy Luck Club,3.9,515090,6708,14802,30197,116748,195930,167566
118,38447,Margaret Atwood,21,The Handmaid's Tale,4.06,607889,35925,13998,32561,116975,252942,267088
119,452306,Ann Brashares,21,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706,6477,14996,42396,152024,177404,149784
120,7604,"Vladimir Nabokov, Craig Raine",21,Lolita,3.88,469836,18107,21091,37205,108664,165477,185553
121,37442,"Gregory Maguire, Douglas Smith",21,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900,22926,40802,65835,132061,153583,133217
122,5358,John Grisham,21,"The Firm (Penguin Readers, Level 5)",3.99,488269,3139,5075,20119,111543,190966,160652
123,7937843,Emma Donoghue,21,Room,4.03,511360,42254,11020,26079,99831,217995,201402
124,1420,"William Shakespeare, Richard Andrews, Rex Gibson",21,Hamlet,4.0,515820,8889,10413,32697,121040,192937,219807
125,234225,Frank Herbert,21,Dune (Dune Chronicles #1),4.19,485032,13239,13354,22778,74206,154771,260867
126,2612,Malcolm Gladwell,21,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,10895,15111,25871,106453,189120,162511
127,11084145,Walter Isaacson,21,Steve Jobs,4.09,560715,15198,19680,21986,88456,203975,245159
128,332613,Ken Kesey,21,One Flew Over the Cuckoo's Nest,4.18,491642,7855,5672,15978,78714,191622,222472
129,2165,Ernest Hemingway,21,The Old Man and the Sea,3.73,520630,16716,28645,52583,136217,186747,170136
130,4395,John Steinbeck,21,The Grapes of Wrath,3.92,322321,12991,23552,40261,103475,173589,212475
131,3431,Mitch Albom,21,The Five People You Meet in Heaven,3.9,449501,16682,12360,33669,107800,155830,165040
132,8127,L.M. Montgomery,21,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247,14041,8864,19531,80256,158725,265976
133,3777732,Cassandra Clare,21,"City of Glass (The Mortal Instruments, #3)",4.34,593173,22736,6646,17351,79202,179290,348071
134,62291,George R.R. Martin,21,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022,19497,1456,4820,36418,149268,335682
135,137791,Rebecca Wells,21,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,3867,15795,35314,120396,158451,140552
136,10964,Diana Gabaldon,21,"Outlander (Outlander, #1)",4.2,515547,36707,20998,27673,73126,147085,309960
137,12296,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",21,The Scarlet Letter,3.37,509883,11428,34813,80444,182701,165079,96209
138,9460487,Ransom Riggs,21,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674,53569,14920,45434,159227,234792,217849
139,6892870,"Stieg Larsson, Reg Keeland",21,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951,26766,3823,14773,78387,203297,226511
140,18007564,Andy Weir,21,The Martian,4.39,423344,61298,4114,10856,49200,173861,291671
141,5043,Ken Follett,21,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517,26283,9248,16886,57825,148052,263882
142,18143977,Anthony Doerr,21,All the Light We Cannot See,4.31,470001,53413,6209,14527,61020,185239,280832
143,8664353,Laura Hillenbrand,21,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,41572,10308,12874,47828,144203,313339
144,976,Dan Brown,21,Deception Point,3.67,455610,7798,14380,45006,143182,160819,116346
145,17333223,Donna Tartt,21,The Goldfinch,3.87,396756,44631,19164,35300,93459,153459,162465
146,1217100,Jay Asher,21,Thirteen Reasons Why,4.02,463783,43467,15246,35668,105414,179197,235756
147,2865,Tracy Chevalier,21,Girl with a Pearl Earring,3.85,467577,8011,11525,28287,123463,189656,139246
148,4374400,Gayle Forman,21,"If I Stay (If I Stay, #1)",3.96,503527,34959,12666,34896,122977,190793,205755
149,4989,Anita Diamant,21,The Red Tent,4.16,424981,17234,9470,19616,67878,146178,206075
150,28186,Rick Riordan,21,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932,20097,2967,13884,91127,188988,253546
151,5526,Nicholas Sparks,21,Dear John,4.01,441062,10626,9683,25220,94711,145202,179965
152,1582996,Cassandra Clare,21,"City of Ashes (The Mortal Instruments, #2)",4.21,541117,23643,6135,20075,92626,192934,274238
153,8852,William Shakespeare,21,Macbeth,3.88,496018,7609,10551,35408,127354,183871,167642
154,15241,J.R.R. Tolkien,21,"The Two Towers (The Lord of the Rings, #2)",4.42,480446,6980,3013,10264,55433,156232,307267
155,42156,Emily Giffin,21,"Something Borrowed (Darcy & Rachel, #1)",3.83,403601,11567,16019,29297,104322,148507,137044
156,23772,"Dr. Seuss, לאה נאור",21,Green Eggs and Ham,4.29,457475,7370,6605,14530,66873,121751,251282
157,6310,"Roald Dahl, Quentin Blake",21,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,453959,8473,6236,17193,94240,178216,198862
158,2120932,Rick Riordan,21,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,508214,14098,2435,8093,62108,172289,292783
159,2623,Charles Dickens,21,Great Expectations,3.75,459247,12311,22811,44293,120385,170702,148996
160,18512,J.R.R. Tolkien,21,"The Return of the King (The Lord of the Rings, #3)",4.51,463959,6644,2691,8008,42693,132149,324996
161,49552,"Albert Camus, Matthew    Ward",21,The Stranger,3.96,420600,14836,10563,28920,100140,174957,169043
162,7736182,Rick Riordan,21,"The Lost Hero (The Heroes of Olympus, #1)",4.35,271576,17107,5020,11267,58590,148498,266120
163,15745753,Rainbow Rowell,21,Eleanor & Park,4.11,514312,53005,12904,26371,94470,196224,249784
164,13497,George R.R. Martin,21,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,428186,18876,3170,18574,94401,175973,189012
165,7735333,Ally Condie,21,"Matched (Matched, #1)",3.68,511815,30226,24343,53804,138030,165412,149091
166,4407,Neil Gaiman,21,"American Gods (American Gods, #1)",4.11,378019,27587,9888,24944,83253,178346,221912
167,149267,"Stephen King, Bernie Wrightson",21,The Stand,4.34,438832,13808,5647,13612,56722,134098,259874
168,6400090,Nicholas Sparks,21,The Last Song,4.14,424637,11051,7253,17803,77712,140241,195420
169,11125,Dan Brown,21,Digital Fortress,3.6,423019,7538,16592,47507,136196,144029,103179
170,6969,"Jane Austen, Fiona Stafford",21,Emma,3.99,459826,11724,11386,25777,102144,178238,180404
171,15823480,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",21,Anna Karenina,4.02,297472,18064,11738,26945,88365,158179,187569
172,227463,Anthony Burgess,21,A Clockwork Orange,3.98,431195,9958,14741,24244,84863,163488,167055
173,1812457,William Paul Young,21,The Shack,3.74,419539,29377,35734,42977,84751,111923,162907
174,4502507,Rick Riordan,21,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,397500,17693,2098,6501,45208,133168,312535
175,18342,Stephen King,21,It,4.18,292592,11698,8464,19610,75841,148672,226794
176,7144,"Fyodor Dostoyevsky, David McDuff",21,Crime and Punishment,4.18,380903,12605,9477,20078,64050,137104,213966
177,6514,Sylvia Plath,21,The Bell Jar,3.98,401605,15963,8266,23983,92408,162216,155284
178,252577,Frank McCourt,21,"Angela's Ashes (Frank McCourt, #1)",4.07,392103,9798,7657,18327,73550,155775,164437
179,52036,"Hermann Hesse, Hilda Rosner",21,Siddhartha,3.99,372099,11518,10229,25529,83698,138837,160360
180,168642,Truman Capote,21,In Cold Blood,4.05,381652,11754,10639,17836,70857,144616,157891
181,6304335,"Kami Garcia, Margaret Stohl",21,"Beautiful Creatures (Caster Chronicles, #1)",3.76,436093,20808,19917,43525,113352,132492,149232
182,7171637,Cassandra Clare,21,"Clockwork Angel (The Infernal Devices, #1)",4.33,490890,24385,8364,15544,61409,140928,289514
183,39988,"Roald Dahl, Quentin Blake",21,Matilda,4.29,440743,11053,4277,10823,64536,152003,231852
184,9361589,Erin Morgenstern,21,The Night Circus,4.03,429543,54008,11349,28650,84254,159596,190977
185,37470,Philippa Gregory,21,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04,381080,15846,5311,16716,78620,153807,144769
186,24770,Scott Westerfeld,21,"Uglies (Uglies, #1)",3.86,449073,21234,15531,34808,106086,151540,156624
187,10664113,George R.R. Martin,21,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.31,365954,20072,2399,10150,53744,147136,211189
188,33,J.R.R. Tolkien,21,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47,389054,9365,4807,9577,37552,106818,277592
189,12262741,Cheryl Strayed,21,Wild: From Lost to Found on the Pacific Crest Trail,3.96,379872,34444,8344,22137,85489,165482,139451
190,472331,"Alan Moore, Dave Gibbons, John Higgins",21,Watchmen,4.35,398018,10851,6349,11732,44847,116877,229518
191,186074,Patrick Rothfuss,21,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,400101,28631,5605,8582,28480,95470,311235
192,3228917,Malcolm Gladwell,21,Outliers: The Story of Success,4.11,353011,19383,4494,12545,62510,148978,140599
193,153747,"Herman Melville, Andrew Delbanco, Tom Quirk",21,"Moby-Dick or, The Whale",3.46,358050,11223,35983,52601,103625,102432,103322
194,2728527,"Mary Ann Shaffer, Annie Barrows",21,The Guernsey Literary and Potato Peel Pie Society,4.12,393626,39853,7190,17250,68942,155107,175183
195,5759,Chuck Palahniuk,21,Fight Club,4.2,365349,11176,4578,12632,58110,139554,173780
196,301082,Charlaine Harris,21,"Dead Until Dark (Sookie Stackhouse, #1)",3.96,420764,16818,11330,25781,96290,148326,163097
197,11486,Alice Walker,21,The Color Purple,4.17,376766,9485,6298,14477,62380,140835,176975
198,12691,John Grogan,21,Marley and Me: Life and Love With the World's Worst Dog,4.12,367304,13407,5485,14940,68532,131536,158855
199,16299,Agatha Christie,21,And Then There Were None,4.23,408983,17264,6134,12476,66243,156306,215521
200,6411961,Dan Brown,21,"The Lost Symbol (Robert Langdon, #3)",3.66,369428,24199,11293,40545,120122,136545,96477
201,6339664,Becca Fitzpatrick,21,"Hush, Hush (Hush, Hush, #1)",4.0,448166,21871,19338,33543,82544,120204,206173
202,11505797,Jamie McGuire,21,"Beautiful Disaster (Beautiful, #1)",4.15,418309,25298,17185,23298,61993,115123,225097
203,5326,Charles Dickens,21,A Christmas Carol,4.02,394540,11568,6737,21415,93906,153823,165515
204,43763,Anne Rice,21,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97,372566,7951,7519,22377,84804,137659,141582
205,10507293,Kiera Cass,21,"The Selection (The Selection, #1)",4.15,505340,35681,13841,25349,83692,158716,257493
206,6853,Janet Evanovich,21,"One for the Money (Stephanie Plum, #1)",4.03,391007,13050,9176,19657,80319,133454,160709
207,6493208,Rebecca Skloot,21,The Immortal Life of Henrietta Lacks,4.04,377249,28624,10782,18237,70339,151226,153856
208,23807,Thomas Harris,21,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14,351107,3866,10268,12845,55427,123652,163920
209,345627,Richelle Mead,21,"Vampire Academy (Vampire Academy, #1)",4.14,248283,19720,12535,22043,73357,129382,217834
210,40102,Malcolm Gladwell,21,Blink: The Power of Thinking Without Thinking,3.89,348196,12215,6804,20128,85934,139947,107525
211,6867,Ian McEwan,21,Atonement,3.88,347006,14815,11473,25462,77135,134788,116800
212,485894,"Franz Kafka, Stanley Corngold",21,The Metamorphosis,3.78,364933,10252,15430,33226,98774,146297,120806
213,561456,Rick Riordan,21,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33,446668,15418,1863,7934,65220,162371,248874
214,9969571,Ernest Cline,21,Ready Player One,4.31,349423,52120,5150,12928,48285,134107,221349
215,3153910,Garth Stein,21,The Art of Racing in the Rain,4.19,327409,32021,4808,13901,53780,118166,163664
216,21996,"Erik Larson, Tony Goldwyn",21,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98,309385,25846,6687,18709,69012,135360,120839
217,13572249,Sylvia Day,21,"Bared to You (Crossfire, #1)",4.19,222678,16748,9867,18983,55554,104657,197075
218,11127,"C.S. Lewis, Pauline Baynes",21,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24,376385,8871,3772,12192,59975,133056,192681
219,3609760,Mark Cotta Vaz,21,Twilight: The Complete Illustrated Movie Companion,4.23,291411,532,6862,11019,48008,67939,158071
220,60748,Dave Pelzer,21,"A Child Called ""It"" (Dave Pelzer #1)",4.08,311543,13729,7819,16453,57341,98786,140899
221,7869,Robert Ludlum,21,"The Bourne Identity (Jason Bourne, #1)",3.98,327122,3899,10266,17695,65161,118463,124627
222,249747,Eoin Colfer,21,"Artemis Fowl (Artemis Fowl, #1)",3.82,386923,8384,14473,30894,94950,129607,129241
223,6487308,Lauren Kate,21,"Fallen (Fallen, #1)",3.74,395296,17725,23594,41578,94145,107149,141642
224,4406,John Steinbeck,21,East of Eden,4.35,320919,14454,4183,9409,39153,96741,187196
225,5886881,Gillian Flynn,21,Dark Places,3.92,333452,28784,5169,17975,89242,165108,109113
226,5359,John Grisham,21,The Client,3.97,320083,1917,2530,12566,79176,129019,102372
227,228333,"Emma McLaughlin, Nicola Kraus",21,"The Nanny Diaries (Nanny, #1)",3.4,323762,5121,17006,43014,116021,95951,56081
228,24213,"Lewis Carroll, John Tenniel, Martin Gardner",21,Alice's Adventures in Wonderland & Through the Looking-Glass,4.06,340920,7736,5294,17482,76985,127906,149523
